f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,label
1.0136585,1.0079933,1.0055988,1.0124904,1.0032914,1.0036998,1.0122268,1.0237727,1.0249428,1.0288285,0.003885726,0.0025278863,0.005533885,0.0,0
1.0079933,1.0055988,1.0124904,1.0032914,1.0036998,1.0122268,1.0237727,1.0249428,1.0288285,1.0373863,0.0085578775,0.006221802,0.0045378837,0.0,0
1.0055988,1.0124904,1.0032914,1.0036998,1.0122268,1.0237727,1.0249428,1.0288285,1.0373863,1.0340041,-0.003382322,0.0025877778,0.0030204272,0.0,0
1.0124904,1.0032914,1.0036998,1.0122268,1.0237727,1.0249428,1.0288285,1.0373863,1.0340041,1.041119,0.0071149296,0.0018663038,0.0040968284,0.0,0
1.0032914,1.0036998,1.0122268,1.0237727,1.0249428,1.0288285,1.0373863,1.0340041,1.041119,1.0505463,0.009427309,0.00827112,0.004386639,0.0,0
1.0036998,1.0122268,1.0237727,1.0249428,1.0288285,1.0373863,1.0340041,1.041119,1.0505463,1.046847,-0.0036992554,0.002864027,0.0042809946,0.0,0
1.0122268,1.0237727,1.0249428,1.0288285,1.0373863,1.0340041,1.041119,1.0505463,1.046847,1.0467004,-0.00014664128,-0.0019229484,0.0018604709,0.0,0
1.0237727,1.0249428,1.0288285,1.0373863,1.0340041,1.041119,1.0505463,1.046847,1.0467004,1.0437973,-0.0029031527,-0.001524897,-0.002249683,0.0,0
1.0249428,1.0288285,1.0373863,1.0340041,1.041119,1.0505463,1.046847,1.0467004,1.0437973,1.0338517,-0.009945453,-0.006424303,-0.004331749,0.0,0
1.0288285,1.0373863,1.0340041,1.041119,1.0505463,1.046847,1.0467004,1.0437973,1.0338517,1.0314105,-0.0024413443,-0.006193399,-0.00509665,0.0,0
1.0373863,1.0340041,1.041119,1.0505463,1.046847,1.0467004,1.0437973,1.0338517,1.0314105,1.0291854,-0.00222501,-0.0023331773,-0.004870603,0.0,0
1.0340041,1.041119,1.0505463,1.046847,1.0467004,1.0437973,1.0338517,1.0314105,1.0291854,1.035799,0.00661358,0.0021942852,0.00064907526,0.0,0
1.041119,1.0505463,1.046847,1.0467004,1.0437973,1.0338517,1.0314105,1.0291854,1.035799,1.0485246,0.012725599,0.00966959,0.0057047233,0.0,0
1.0505463,1.046847,1.0467004,1.0437973,1.0338517,1.0314105,1.0291854,1.035799,1.0485246,1.054526,0.0060014036,0.009363501,0.008446861,0.0,0
1.046847,1.0467004,1.0437973,1.0338517,1.0314105,1.0291854,1.035799,1.0485246,1.054526,1.0482965,-0.0062295957,-0.000114096125,0.004165802,0.0,0
1.0467004,1.0437973,1.0338517,1.0314105,1.0291854,1.035799,1.0485246,1.054526,1.0482965,1.0596993,0.011402866,0.0025866348,0.003724891,0.0,0
1.0437973,1.0338517,1.0314105,1.0291854,1.035799,1.0485246,1.054526,1.0482965,1.0596993,1.0674193,0.0077200187,0.009561442,0.0042977626,0.0,0
1.0338517,1.0314105,1.0291854,1.035799,1.0485246,1.054526,1.0482965,1.0596993,1.0674193,1.0684041,0.0009848339,0.004352426,0.0067025726,0.0,0
1.0314105,1.0291854,1.035799,1.0485246,1.054526,1.0482965,1.0596993,1.0674193,1.0684041,0.65335375,-0.41505036,-0.20703277,-0.1354485,1.0,1
1.0291854,1.035799,1.0485246,1.054526,1.0482965,1.0596993,1.0674193,1.0684041,0.65335375,0.121437445,-0.5319163,-0.47348332,-0.3153273,1.0,1
1.035799,1.0485246,1.054526,1.0482965,1.0596993,1.0674193,1.0684041,0.65335375,0.121437445,0.121094786,-0.0003426603,-0.2661295,-0.3157698,1.0,2
